sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
spdlog 1.11.0-2
speedtest-cli 2.1.3-4
speex 1.2.1-1
speexdsp 1.2.1-1
spotify 1:1.1.84.716-9
sqlite 3.41.0-1
squashfs-tools 4.5.1-2
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-7
sudo 1.9.13-1
svt-av1 1.4.1-1
sway 1:1.8.1-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swayimg 1.10-1
swaylock 1.7.2-1
syndication 5.103.0-1
syntax-highlighting 5.103.0-1
sysfsutils 2.1.1-1
systemd 253-1
systemd-libs 253-1
systemd-sysvcompat 253-1
systemsettings 5.27.1-1
taglib 1.13-1
tailscale 1.36.1-1
talloc 2.4.0-2
tar 1.34-1
tbb 2021.5.0-2
tdb 1.4.8-1
tevent 1:0.14.1-1
texinfo 7.0.2-2
thin-provisioning-tools 1.0.2-1
threadweaver 5.103.0-1
thunar 4.18.4-1
thunar-archive-plugin 0.5.0-2
thunderbird 102.8.0-1
tinycompress 1.2.8-1
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
tslib 1.22-1
ttf-hack 3.003-3
ttf-liberation 2.1.5-1
twolame 0.4.0-2
tzdata 2022g-2
udiskie 2.4.2-1
udisks2 2.9.4-1
unityhub 3.4.1-1
unzip 6.0-19
upower 1.90.0-3
usbmuxd 1.1.1-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 9.0.1337-1
vim-runtime 9.0.1337-1
visual-studio-code-bin 1.74.3-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vte-common 0.70.3-1
vte3 0.70.3-1
vulkan-headers 1:1.3.240-1
vulkan-icd-loader 1.3.240-1
vulkan-intel 22.3.6-1
vulkan-radeon 22.3.6-1
vulkan-validation-layers 1.3.236.0-1
wavpack 5.6.0-1
waybar-hyprland-git 0.9.17.r6.g6c8e1865-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webkit2gtk-4.1 2.38.5-1
webrtc-audio-processing 0.3.1-3
weston 11.0.1-1
wget 1.21.3-1
which 2.21-6
wireless_tools 30.pre9-3
wireplumber 0.4.13-1
wlr-randr 0.2.0-2
wlroots 0.16.2-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.0-1
wxwidgets-common 3.2.2.1-1
wxwidgets-gtk3 3.2.2.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.4.2-1
xcb-proto 1.15.2-2
